,Episode Title,Directed By,Air Date,U.S Viewers
0,Space Pilot 3000,Rich Moore & Gregg Vanzo,3/28/1999,19.04
1,The Series Has Landed,Peter Avanzino,4/4/1999,14.23
2,"I, Roommate",Bret Haaland,4/6/1999,8.89
3,Love's Labours Lost in Space,Brian Sheesley,4/13/1999,10.14
4,Fear of a Bot Planet,Peter Avanzino & Carlos Baeza,4/20/1999,9.69
5,A Fishful of Dollars,Ron Hughart & Gregg Vanzo,4/27/1999,9.7
6,My Three Suns,Jeffrey Lynch & Kevin O'Brien,5/4/1999,8.24
7,A Big Piece of Garbage,Susan Dietter,5/11/1999,8.45
8,Hell Is Other Robots,Rich Moore,5/18/1999,7.39
9,A Flight to Remember,Peter Avanzino,9/26/1999,11.54
10,Mars University,Bret Haaland,10/3/1999,10.79
11,When Aliens Attack,Brian Sheesley,11/7/1999,12.25
12,Fry and the Slurm Factory,Ron Hughart,11/14/1999,12.86
13,I Second That Emotion,Mark Ervin,21-Nov-99,15.32
14,"Brannigan, Begin Again",Jeffrey Lynch,28-Nov-99,13.34
15,A Head in the Polls,Bret Haaland,12-Dec-99,12.84
16,Xmas Story,Peter Avanzino,19-Dec-99,12.45
17,Why Must I Be a Crustacean in Love?,Brian Sheesley,6-Feb-00,6.65
18,The Lesser of Two Evils,Chris Sauve,20-Feb-00,7.07
19,Put Your Head on My Shoulders,Chris Louden,13-Feb-00,7.94
20,Raging Bender,Ron Hughart,27-Feb-00,8.19
21,A Bicyclops Built for Two,Susan Dietter,19-Mar-00,6.55
22,A Clone of My Own,Rich Moore,9-Apr-00,5.34
23,How Hermes Requisitioned His Groove Back,Mark Ervin,2-Apr-00,5.46
24,The Deep South,Bret Haaland,16-Apr-00,5.74
25,Bender Gets Made,Peter Avanzino,30-Apr-00,5.74
26,Mother's Day,Brian Sheesley,14-May-00,6.09
27,The Problem with Popplers,Chris Sauve & Gregg Vanzo,7-May-00,5.58
28,Anthology of Interest I,Chris Louden & Rich Moore,21-May-00,5.47
29,War Is the H-Word,Ron Hughart,26-Nov-00,6.0
30,The Honking,Susie Dietter,5-Nov-00,9.78
31,The Cryonic Woman,Mark Ervin,3-Dec-00,6.81
32,Amazon Women in the Mood,Brian Sheesley,4-Feb-01,8.18
33,Parasites Lost,Peter Avanzino,21-Jan-01,8.35
34,A Tale of Two Santas,Ron Hughart,23-Dec-01,7.29
35,The Luck of the Fryrish,Chris Louden,11-Mar-01,7.8
36,The Birdbot of Ice-Catraz,James Purdum,4-Mar-01,7.92
37,Bendless Love,Swinton O. Scott III,11-Feb-01,8.2
38,The Day the Earth Stood Stupid,Mark Ervin,18-Feb-01,8.29
